customer_id,tenure,monthly_charges,total_charges,contract,usage_frequency,support_tickets,engagement_score,last_activity_days,churn,cluster,segment_name
CUS-000170,68,96.74,6702.46,Month-to-month,Medium,9,54,28,1,1,Low Value / Dormant
CUS-000171,55,141.5,7739.63,Two year,Medium,1,2,50,0,1,Low Value / Dormant
CUS-000172,56,21.11,1162.94,Month-to-month,Medium,2,75,18,1,2,Mid Value / Moderate
CUS-000173,17,26.21,444.14,Month-to-month,Low,1,72,55,1,0,High Value / Loyal
CUS-000174,38,44.89,1773.39,Two year,High,2,30,36,1,2,Mid Value / Moderate
CUS-000175,24,41.75,990.42,Month-to-month,Low,7,91,23,0,0,High Value / Loyal
CUS-000176,69,43.56,2976.37,Month-to-month,High,2,54,17,0,2,Mid Value / Moderate
CUS-000177,70,107.35,7596.15,Month-to-month,Medium,9,4,9,1,1,Low Value / Dormant
CUS-000178,11,79.73,899.25,Month-to-month,Medium,0,71,15,0,0,High Value / Loyal
CUS-000179,16,148.93,2438.81,Month-to-month,Low,7,47,56,1,3,New / At-Risk
CUS-000180,59,49.5,2779.99,One year,Medium,7,88,49,0,2,Mid Value / Moderate
CUS-000181,70,60.41,4307.8,One year,High,6,96,40,0,2,Mid Value / Moderate
CUS-000182,3,147.95,441.66,One year,High,3,19,41,0,3,New / At-Risk
CUS-000183,20,128.13,2568.74,One year,Medium,4,42,53,1,3,New / At-Risk
CUS-000184,59,81.07,4812.86,Two year,Medium,9,99,43,1,1,Low Value / Dormant
CUS-000185,36,92.1,3392.34,Month-to-month,Medium,5,42,59,1,3,New / At-Risk
CUS-000186,19,129.61,2544.25,Two year,Medium,5,51,4,0,3,New / At-Risk
CUS-000187,67,82.53,5610.21,Month-to-month,Low,6,3,14,1,1,Low Value / Dormant
CUS-000188,19,46.78,894.56,Month-to-month,Medium,3,82,22,0,0,High Value / Loyal
CUS-000189,20,127.7,2521.72,Month-to-month,High,7,37,30,1,3,New / At-Risk
CUS-000190,71,89.91,6152.47,Month-to-month,High,1,22,29,1,1,Low Value / Dormant
CUS-000191,52,39.9,2169.7,Two year,Medium,8,33,6,1,2,Mid Value / Moderate
CUS-000192,33,85.73,2818.17,Month-to-month,Medium,5,98,19,0,0,High Value / Loyal
CUS-000193,40,73.72,2968.18,Month-to-month,High,0,49,38,0,2,Mid Value / Moderate
CUS-000194,39,133.99,5356.79,One year,High,0,87,2,0,1,Low Value / Dormant
CUS-000195,1,36.39,34.82,Month-to-month,Medium,7,54,2,1,0,High Value / Loyal
CUS-000196,11,133.78,1523.79,Two year,High,9,62,30,0,0,High Value / Loyal
CUS-000197,57,86.59,5082.08,Two year,High,9,35,6,0,1,Low Value / Dormant
CUS-000198,50,72.57,3727.94,Month-to-month,Medium,6,29,0,1,2,Mid Value / Moderate
CUS-000199,23,41.06,899.14,Month-to-month,High,2,66,55,0,0,High Value / Loyal
CUS-000200,31,111.11,3453.43,Month-to-month,Medium,7,50,26,1,3,New / At-Risk
CUS-000201,42,140.48,5637.37,Month-to-month,High,7,14,49,1,1,Low Value / Dormant
CUS-000202,7,68.8,484.04,Month-to-month,Low,6,48,0,1,3,New / At-Risk
CUS-000203,16,51.41,840.46,Month-to-month,Medium,4,44,5,0,3,New / At-Risk
CUS-000204,60,92.13,5318.92,One year,Low,7,72,19,0,1,Low Value / Dormant
CUS-000205,2,123.5,251.82,Month-to-month,Medium,4,1,38,0,3,New / At-Risk
CUS-000206,1,20.49,20.39,Month-to-month,High,0,28,43,1,3,New / At-Risk
CUS-000207,48,102.08,5052.45,Month-to-month,Medium,7,3,2,1,1,Low Value / Dormant
CUS-000208,12,97.55,1174.5,One year,Low,6,71,58,1,0,High Value / Loyal
CUS-000209,69,61.36,4164.44,Month-to-month,High,6,98,1,0,2,Mid Value / Moderate
CUS-000210,37,78.68,2862.43,Month-to-month,Low,1,48,59,1,2,Mid Value / Moderate
CUS-000211,32,52.11,1733.64,Month-to-month,High,2,32,46,0,3,New / At-Risk
CUS-000212,9,122.69,1098.96,Month-to-month,High,2,9,31,0,3,New / At-Risk
CUS-000213,19,102.49,1928.95,Month-to-month,Medium,9,99,58,1,0,High Value / Loyal
CUS-000214,48,89.25,4087.0,Two year,Medium,5,57,19,0,1,Low Value / Dormant
CUS-000215,3,71.03,210.19,One year,Low,5,83,35,1,0,High Value / Loyal
CUS-000216,20,57.88,1198.07,One year,Medium,2,46,26,0,3,New / At-Risk
CUS-000217,24,126.96,3126.46,Two year,Low,4,58,19,1,0,High Value / Loyal
CUS-000218,54,78.68,4130.3,One year,Medium,8,56,18,1,2,Mid Value / Moderate
CUS-000219,33,85.19,2786.77,One year,Medium,6,15,54,0,3,New / At-Risk
CUS-000220,24,87.71,2041.12,Month-to-month,Medium,8,95,20,1,0,High Value / Loyal
CUS-000221,36,78.29,2946.37,One year,High,1,61,42,0,0,High Value / Loyal
CUS-000222,38,53.29,2044.95,Month-to-month,Medium,9,16,19,1,3,New / At-Risk
CUS-000223,25,35.64,913.77,Month-to-month,Medium,9,46,4,1,2,Mid Value / Moderate
CUS-000224,18,32.81,603.2,Month-to-month,High,0,71,54,0,0,High Value / Loyal
CUS-000225,66,118.47,8111.22,One year,Low,1,35,19,1,1,Low Value / Dormant
CUS-000226,54,49.06,2768.2,Month-to-month,High,5,93,11,0,2,Mid Value / Moderate
CUS-000227,35,27.24,908.74,One year,Medium,9,66,47,0,2,Mid Value / Moderate
CUS-000228,61,123.68,7902.9,One year,Medium,6,57,9,1,1,Low Value / Dormant
CUS-000229,41,40.03,1701.96,Month-to-month,High,7,34,52,0,2,Mid Value / Moderate
CUS-000230,33,101.27,3302.76,Month-to-month,High,5,99,21,0,0,High Value / Loyal
CUS-000231,68,64.02,4500.35,Month-to-month,Medium,5,31,37,1,2,Mid Value / Moderate
CUS-000232,33,36.44,1231.05,Month-to-month,Low,2,12,27,0,3,New / At-Risk
CUS-000233,14,73.88,1064.67,One year,High,8,65,11,0,0,High Value / Loyal
CUS-000234,21,21.93,447.57,One year,High,1,47,38,1,0,High Value / Loyal
CUS-000235,48,129.34,6300.35,Month-to-month,Medium,4,93,9,1,1,Low Value / Dormant
CUS-000236,20,86.75,1652.84,Two year,Low,2,65,47,0,0,High Value / Loyal
CUS-000237,8,38.09,315.34,Two year,High,0,1,34,0,3,New / At-Risk
CUS-000238,7,50.81,371.69,Month-to-month,Low,1,79,47,0,0,High Value / Loyal
CUS-000239,67,78.24,5326.85,One year,High,5,67,43,0,1,Low Value / Dormant
CUS-000240,17,44.55,758.36,Month-to-month,Medium,9,14,39,1,3,New / At-Risk
CUS-000241,33,54.92,1853.2,One year,Medium,0,54,36,0,2,Mid Value / Moderate
CUS-000242,48,89.47,4220.0,Month-to-month,Medium,1,10,16,1,1,Low Value / Dormant
CUS-000243,59,128.24,7661.74,One year,Medium,9,67,51,1,1,Low Value / Dormant
CUS-000244,22,72.24,1624.06,Month-to-month,High,4,84,26,1,0,High Value / Loyal
CUS-000245,30,113.21,3274.85,Two year,Medium,0,50,51,0,3,New / At-Risk
CUS-000246,38,133.97,4907.59,Month-to-month,High,9,91,45,1,1,Low Value / Dormant
CUS-000247,51,48.12,2507.12,Month-to-month,High,3,36,55,1,2,Mid Value / Moderate
CUS-000248,54,124.93,6700.46,Month-to-month,Low,4,11,28,1,1,Low Value / Dormant
CUS-000249,8,118.46,984.58,One year,Medium,4,3,25,1,3,New / At-Risk
CUS-000250,27,66.4,1759.13,One year,Medium,4,88,8,0,0,High Value / Loyal
CUS-000251,27,148.64,3829.58,Two year,Medium,9,39,50,1,1,Low Value / Dormant
CUS-000252,21,54.13,1153.86,Two year,Medium,8,10,11,0,3,New / At-Risk
CUS-000253,30,53.12,1623.1,One year,Low,8,90,42,0,0,High Value / Loyal
CUS-000254,28,120.39,3389.09,Month-to-month,Medium,4,51,25,0,3,New / At-Risk
CUS-000255,64,76.51,4986.11,Month-to-month,Medium,5,32,32,0,1,Low Value / Dormant
CUS-000256,69,63.0,4357.56,Two year,High,7,52,31,0,2,Mid Value / Moderate
CUS-000257,61,43.23,2687.59,Two year,Medium,6,72,10,0,2,Mid Value / Moderate
CUS-000258,48,119.49,5474.09,Month-to-month,Medium,5,47,28,0,1,Low Value / Dormant
CUS-000259,19,122.22,2291.65,One year,High,3,13,58,0,3,New / At-Risk
CUS-000260,4,93.65,363.78,One year,High,2,67,7,0,0,High Value / Loyal
CUS-000261,35,144.45,4853.21,One year,Medium,3,53,24,1,1,Low Value / Dormant
CUS-000262,64,61.36,3822.69,Two year,Low,2,53,19,1,2,Mid Value / Moderate
CUS-000263,49,48.55,2305.54,Month-to-month,High,7,15,20,1,2,Mid Value / Moderate
CUS-000264,17,108.07,1924.13,Two year,Low,5,53,3,0,0,High Value / Loyal
CUS-000265,44,118.59,5106.72,Month-to-month,High,5,85,35,1,1,Low Value / Dormant
CUS-000266,30,49.24,1437.39,Month-to-month,Medium,0,42,42,1,2,Mid Value / Moderate
CUS-000267,46,29.96,1424.28,Month-to-month,Medium,4,29,28,0,2,Mid Value / Moderate
CUS-000268,6,125.37,746.12,One year,High,7,47,18,0,3,New / At-Risk
CUS-000269,37,146.95,5394.28,One year,Low,1,91,25,1,1,Low Value / Dormant
CUS-000270,24,103.81,2477.32,One year,Medium,2,30,35,1,3,New / At-Risk
CUS-000271,46,56.12,2560.1,One year,Medium,8,14,24,1,2,Mid Value / Moderate
CUS-000272,53,149.57,7789.59,One year,High,3,79,22,0,1,Low Value / Dormant
CUS-000273,60,136.12,7992.97,Month-to-month,High,9,59,37,0,1,Low Value / Dormant
CUS-000274,63,86.74,5673.31,Two year,High,4,64,27,0,1,Low Value / Dormant
CUS-000275,32,127.29,3935.54,Month-to-month,Low,6,44,40,1,1,Low Value / Dormant
CUS-000276,33,126.06,4027.2,One year,Low,4,14,10,0,3,New / At-Risk
CUS-000277,67,141.52,9550.1,Month-to-month,High,1,25,28,1,1,Low Value / Dormant
CUS-000278,18,129.32,2291.37,Month-to-month,Medium,6,91,43,1,0,High Value / Loyal
CUS-000279,25,103.68,2571.62,Month-to-month,Medium,5,44,49,1,3,New / At-Risk
CUS-000280,54,99.21,5521.54,Two year,Medium,8,61,19,0,1,Low Value / Dormant
CUS-000281,58,80.76,4872.93,Month-to-month,High,1,2,8,0,1,Low Value / Dormant
CUS-000282,67,101.44,6994.17,Month-to-month,Low,1,81,23,1,1,Low Value / Dormant
CUS-000283,46,123.38,5524.96,One year,Low,7,79,46,0,1,Low Value / Dormant
CUS-000284,24,145.97,3671.55,Month-to-month,High,9,91,48,1,0,High Value / Loyal
CUS-000285,32,80.75,2548.56,Two year,Low,0,74,40,1,0,High Value / Loyal
CUS-000286,47,94.57,4297.92,Two year,Medium,7,43,12,0,1,Low Value / Dormant
CUS-000287,23,77.82,1789.88,One year,High,4,9,57,0,3,New / At-Risk
CUS-000288,66,106.9,7214.59,Month-to-month,Low,0,61,1,0,1,Low Value / Dormant
CUS-000289,27,101.89,2636.38,Month-to-month,Low,9,67,16,0,0,High Value / Loyal
CUS-000290,2,22.32,45.24,Month-to-month,Medium,0,24,49,1,3,New / At-Risk
CUS-000291,17,90.35,1590.97,Month-to-month,Low,5,65,57,1,0,High Value / Loyal
CUS-000292,33,31.5,1014.84,Month-to-month,Medium,9,38,26,1,2,Mid Value / Moderate
CUS-000293,9,23.43,214.94,Two year,Medium,1,70,37,0,0,High Value / Loyal
CUS-000294,43,122.86,5229.92,One year,Medium,1,5,1,1,1,Low Value / Dormant
CUS-000295,48,53.62,2551.87,Month-to-month,Medium,0,68,32,0,2,Mid Value / Moderate
CUS-000296,39,64.29,2452.17,Month-to-month,High,0,67,4,0,2,Mid Value / Moderate
CUS-000297,42,28.33,1204.7,One year,High,3,30,13,1,2,Mid Value / Moderate
CUS-000298,26,43.34,1111.05,Month-to-month,High,4,87,26,0,0,High Value / Loyal
CUS-000299,50,119.53,6174.19,Two year,Medium,3,62,49,1,1,Low Value / Dormant
CUS-000300,25,84.16,2201.37,Month-to-month,Medium,5,7,58,1,3,New / At-Risk
CUS-000301,24,134.49,3368.12,Two year,High,7,51,35,0,3,New / At-Risk
CUS-000302,13,71.64,899.97,One year,Medium,1,32,26,0,3,New / At-Risk
CUS-000303,60,54.93,3135.75,Two year,High,0,74,13,0,2,Mid Value / Moderate
